"","add0","add1","add2","add3","mwqg"
"103","고양시","일산동구","설문동(설문교)",NA,5.6
"104","고양시","일산동구","지영동(지영교)",NA,4.31578947368421
"105","고양시","일산서구","법곳동","일산대교",5
"106","고창군","부안면","용산리",NA,2
"107","고창군","아산면","구암리","구암교",2.5
"108","고흥군","금산면","오천리","오천교",2.14285714285714
"109","곡성군","고달면","목동리","고달교",3
"110","곡성군","목사동면","신기리","보성강교",2
"111","곡성군","오곡면","압록리","예성교",3
"112","곡성군","죽곡면","유봉리","태안교",2
"113","곡성군","죽곡면","하한리","압록교",2.11111111111111
"114","공주시","금성동","","금강교",4.14285714285714
"115","공주시","반포면","국곡리","세월교",3.1
"116","공주시","상월면","신충리","월오교",3
"117","공주시","신관동","","정안천교",4
"118","공주시","우성면","동대리길","72-50(동대리",2.8
"119","공주시","우성면","신웅리","공주보",4.33333333333333
"120","공주시","웅진동","","곰나루터",3.83333333333333
"121","공주시","탄천면","분강리",NA,4.33333333333333
"122","광명시","소하동(기아대교)",NA,NA,5.8125
"123","광산구","광산동","","오룡교",3.5
"124","광산구","본덕동","","옥동교",5.85714285714286
"125","광산구","서봉동","","송정취수장",3
"126","광산구","신동","","신동교",4.22222222222222
"127","광산구","월곡동","","월곡철교",5.66666666666667
"128","광산구","월곡동","684-4","도보교",5
"129","광산구","지평동(죽산교)",NA,NA,2
"130","광산구","황룡동","","송정2교",4.11111111111111
"131","광양시","광양읍","칠성리","서천교",2
"132","광양시","광영동","","십리제방",5
"133","광양시","광영동","십리제방",NA,5
"134","광양시","금호동","634","간선수로",4.3
"135","광양시","진상면","비평리",NA,2
"136","광양시","진상면","섬거리","댐앞",1.88888888888889
"137","광양시","진상면","황죽리","황죽교",1
"138","광양시","진월면","망덕리","섬진강휴게소",3.5
"139","광주시","곤지암읍","신대리(신대교)",NA,3.4
"140","광주시","광주읍","경안리","경안교",3
"141","광주시","남종면","분원리",NA,3.8
"142","광주시","송정동(지월새마을교)",NA,NA,3.71428571428571
"143","광주시","오포읍","매산리","매산리보",4.4
"144","광주시","초월면","서하리","서하교",3.85714285714286
"145","광주시","초월면","서하리(서하보)","서하보",3.72
"146","광주시","초월면","지월리",NA,2
"147","광주시","초월읍","무갑리(무갑교)",NA,2.57142857142857
"148","광주시","초월읍","지월리(경수교)",NA,2.71428571428571
"149","광주시","회덕동(회덕교)",NA,NA,4.28571428571429
"150","괴산군","괴산읍","동부리","동진교",2.5
"151","괴산군","괴산읍","서부리","정용교",2
"152","괴산군","불정면","목도리","목도교",5.75
"153","괴산군","불정면","창산리","남창교",3
"154","괴산군","불정면","하문리","조곡교",5.45833333333333
"155","괴산군","청천면","덕평리","운교",2.25
"156","괴산군","청천면","화양리","화양제1교",1.71428571428571
"157","괴산군","칠성면","","괴강교",3.66666666666667
"158","괴산군","칠성면","괴강교",NA,2
"159","괴산군","칠성면","도정리","칠성교",2.23076923076923
"160","괴산군","칠성면","사은리",NA,2
"161","괴산군","칠성면","쌍곡리","쌍곡교",2
"162","괴산군","칠성면","외사리","댐앞",5.75
"163","구례군","간전면","간전중앙로","47(간전교)",2.75
"164","구례군","구례읍","계산리","유곡나루터",3.66666666666667
"165","구로구","개봉동","","남부순환도로밑",4
"166","구로구","개봉동","남부순환도로밑",NA,4.5
"167","구로구","구로동","","오금교",6
"168","구로구","구로동(무명교)",NA,NA,4.90909090909091
"169","구로구","구로동(안양교)",NA,NA,5.97058823529412
"170","구리시","수택동","","왕숙교",3.5
"171","구리시","수택동","왕숙교",NA,4
"172","구리시","토평동","","강동대교",7
"173","구리시","토평동","한강합류전","구리하수처리장하류",4
"174","구미시","거의동","","거의교",3.75
"175","구미시","거의동","거의교",NA,3.5
"176","구미시","고아면","오로리","선주교",2
"177","구미시","고아읍","봉한4안길","242(봉한리",3.33333333333333
"178","구미시","도개면","강동로","2695(신림리",4
"179","구미시","산동면","백현리","무명교",4.5
"180","구미시","선산읍","독동리","구미보",3.64
"181","구미시","선산읍","어강길","201-24(원리",2
"182","구미시","오태동","125-12","광평천",4
"183","구미시","장천면","상장리","신장교",3.57142857142857
"184","군산시","대야면","광교리","원두교",5.625
"185","군산시","소룡동","1598","GM대우",7
"186","군위군","고로면","학성리129(학성교)",NA,3.6
"187","군위군","고로면","화북리1128(취수탑앞)",NA,4
"188","군위군","군위읍","무성리","무성교",7
"189","군위군","소보면","사리리","사리교",3.75
"190","군위군","효령면","불로리","남강대교",2.27272727272727
"191","군위군고로면","양지리","698-1(동곡교)",NA,3.5
"192","군포시","당정동","","구",5
"193","군포시","당정동(애자교)",NA,NA,2.68421052631579
"194","금남면","성덕리","","성덕교",2.66666666666667
"195","금산군","군북면","상곡리","상곡교",1.85714285714286
"196","금산군","복수면","지량리","징검다리식보",2.05263157894737
"197","금산군","부리면","수통리","적벽교",2.2
"198","금산군","제원면","남사길","73(명암리",3
"199","금산군","제원면","저곡리","제원대교",2
"200","금산군","제원면","천내리","원골",2.75
"201","금산군","추부면","성당리","도계교",3.27272727272727
"202","금정구","선동","","신천교",2
"203","김제시","백구면","마산리","마산교",7
"204","김제시","백구면","백구리","백구제수문앞",5.625
"205","김제시","봉남면","용신리","원평교",4
"206","김제시","부량면","옥정리","군포교",4.55555555555556
"207","김제시","성덕면","남포리","수교",7
"208","김제시","죽산면","대창리","해창제수문",6.25
"209","김제시","죽산면","죽산리","죽산교",4
"210","김천시","감문면","태촌리","감포교",2.66666666666667
"211","김천시","남면","부상리","김천시-칠곡군",3
"212","김천시","남면","월평리","김천시-성주군경계",2.15789473684211
"213","김천시","대광동","868","소하천",7
"214","김천시","부항면","신옥리","145",2.85714285714286
"215","김천시","아포읍","송천리","무명교",4.66666666666667
"216","김천시","증산면","유성리","은적1교",1.88235294117647
"217","김천시","지례면","울곡리","중리교",2.26086956521739
"218","김천시","지좌동","","김천교",2
"219","김포시","감정동(나진포1교)",NA,NA,5.54166666666667
"220","김포시","고촌읍","신곡리",NA,4.66666666666667
"221","김포시","풍무동(원당교)",NA,NA,5.14285714285714
"222","김해시","삼계동","(삼계교)","삼계교",3
"223","김해시","삼정동","","어방교",3.5
"224","김해시","생림면","","금곡교",6
"225","김해시","생림면","금곡교",NA,4
"226","김해시","생림면","마사리","마사양수장",4.28571428571429
"227","김해시","전하동","","전하교",2.5
"228","김해시","진영읍","좌곤리","좌곤교",3.05
"229","나주시","공산면","복용리","새마을교",6.14285714285714
"230","나주시","금천면","신가리","지석대교",4.75
"231","나주시","금천면","신천리","새마을교",5.33333333333333
"232","나주시","남평읍","산포면","평산리",4.66666666666667
"233","나주시","남평읍","수원리","남평교",4
"234","나주시","노안면","학산리","승촌보",6.3
"235","나주시","다도면","신동리",NA,3.17391304347826
"236","나주시","다도면","판촌리","댐앞",3
"237","나주시","다시면","가흥리","영동교",3.28571428571429
"238","나주시","다시면","동당리","석관정나루터.",6.5
"239","나주시","동강면","월송리","몽탄양수장앞",6.25
"240","나주시","삼도동","","나주대교",6.8
"241","나주시","석현동","","구석현교",6.625
"242","나주시","세지면","성산리","마을교량",3.5
"243","나주시","왕곡면","무숙로","247-26(옥곡리",6.28571428571429
"244","나주시","운곡동","","양곡교",4.7
"245","나주시","진포동","","구진포나루터",6.2
"246","남구","고사동","110-32","SK",7
"247","남구","매암동","410-1","미원화학(주)",7
"248","남구","매암동","472-8","여천3교",6
"249","남구","무거동","","삼호1교",1
"250","남구","무거동","","신삼호교",2
"251","남구","무거동","신삼호교",NA,2
"252","남구","삼산동","","학성교",3
"253","남구","삼산동","학성교",NA,4
"254","남구","선암동","댐중앙",NA,3.23809523809524
"255","남구","성암동","48-18","금호석유화학",6
"256","남구","신정동","","태화교",3
"257","남구","신정동","태화교",NA,2
"258","남구","야음동","","유화교",6
"259","남양주시","별내동(퇴계원교)",NA,NA,4.63157894736842
"260","남양주시","삼패동","","석실교",4
"261","남양주시","수동면","송천리(오류동교)",NA,5.8125
"262","남양주시","와부읍","덕소리","덕소1교",6
"263","남양주시","와부읍","덕소리","월문교",2.5
"264","남양주시","와부읍","도곡리","덕소고교아래",7
"265","남양주시","와부읍","도곡리","도곡취수장옆",4.4
"266","남양주시","와부읍","도곡리","동막취수장",3.15384615384615
"267","남양주시","와부읍","팔당리(팔당대교)","팔당대교",6.33333333333333
"268","남양주시","조안면","능내리","댐앞",2.97005988023952
"269","남양주시","조안면","삼봉리",NA,4.14285714285714
"270","남양주시","진건면","신월리","신월교",3.25
"271","남양주시","진접읍","내각리","내각교",2.25
"272","남양주시","퇴계원면(진관교)",NA,NA,3.375
"273","남양주시","화도읍","구암리","구운교",2
"274","남양주시","화도읍","금남리",NA,3.5
"275","남원시","금지면","창산리","금지교",3
"276","남원시","금지면","하도리","금곡교",3.33333333333333
"277","남원시","대강면","월탄리","대풍교",3
"278","남원시","대강면","풍산리","암거형수로",2.41176470588235
"279","남원시","덕과면","사율리","율천교",3.34615384615385
"280","남원시","사내면","서도리","수촌교",3.23529411764706
"281","남원시","산동면","월석리","월석교",1.85714285714286
"282","남원시","송동면","세전리","요천대교",4
"283","남원시","운봉읍","중군리","중군교",5.33333333333333
"284","남해군","남해읍","선소리","입현교",1
"285","노원구","상계동","노원교",NA,4
"286","논산시","가야곡면","병암리",NA,2.25
"287","논산시","가야곡면","종연리",NA,2.88888888888889
"288","논산시","강경읍","북옥리","강경천",4.66666666666667
"289","논산시","강경읍","황산리","황산대교",4.75
"290","논산시","광석면","항월리","노성대교",5
"291","논산시","대교동","","논산대교",3.5
"292","논산시","대교동","논산대교",NA,4
"293","논산시","성동면","개척리",NA,4.25
"294","논산시","성동면","원북리","경교",5.5
"295","논산시","양촌면","신기리","세월교",1.5
"296","논산시","양촌면","신흥리","신흥교",5.28571428571429
"297","논산시","연무읍","봉동리","황화교",7
"298","논산시","채운면","장화리","영창교",7
"299","단양군","가곡면","가대리","본류가대교",5.75
"300","단양군","가곡면","덕천리","덕천교",2
"301","단양군","가곡면",NA,NA,3
"302","단양군","단성면","장회리","장회나루터",2.55555555555556
"303","단양군","단양읍","","단양1교",3.33333333333333
"304","단양군","단양읍","장회리","구봉담앞",2.4
"305","단양군","영춘면","오사리","북벽교",3.85185185185185
"306","달서구","파호동","","강창교",5.36363636363636
"307","달성구","월성2동","대천교",NA,7
"308","달성군","가창면","오동",NA,2.16666666666667
"309","달성군","구지면","대암리","우곡교",5.5
"310","달성군","논공읍","남리","471-73",6
"311","달성군","논공읍","하리","달성보",4.70588235294118
"312","달성군","다사읍","죽곡리","강정고령보",4.16666666666667
"313","달성군","다사읍","죽곡리","강정취수장",4
"314","달성군","하빈면","","성주대교",5.5
"315","달성군","하빈면","봉촌리","봉촌교",6.30434782608696
"316","달성군","현풍면","성하리","박석진교",4
"317","달성군","현풍면","오산리","오산교",6.65384615384615
"318","달성군","화원읍","","사문진교",4.66666666666667
"319","달성군","화원읍","사문진교",NA,3
"320","담양군","고서면","보촌리","보촌교",3.6
"321","담양군","고서면","분향리","댐앞",2.25
"322","담양군","금성면","대성리","댐앞",2
"323","담양군","남면","학선리",NA,3
"324","담양군","담양읍","금월리","금월교",4.08
"325","담양군","용면","월계리",NA,2
"326","당진군","당진읍","","탑동교",3
"327","당진군","당진읍","탑동교",NA,3
"328","당진군","석문면","초락도리",NA,6
"329","당진군","송산면","당산리","오도교",5.5
"330","당진군","합덕읍","옥금리","구양교",5
"331","당진시","신평면","신송리(신포교)",NA,5.6
"332","대덕구","오정동","","한밭대교",2.5
"333","대덕구","용호동","","수도교",2.4
"334","대덕구","용호동","수도교",NA,3.75
"335","도봉구","도봉동","","상도교",4.75
"336","도봉구","도봉동","상도교",NA,5.66666666666667
"337","동구","추동","","추동취수탑",3
